,number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_lr,params_n_layers,params_n_units,state
3,3,0.48524874448776245,2023-06-21 21:14:56.251434,2023-06-21 21:15:48.051043,0 days 00:00:51.799609,0.4,6.13558693642851e-08,11,56,COMPLETE
0,0,0.5000004172325134,2023-06-21 21:13:27.296650,2023-06-21 21:14:05.247010,0 days 00:00:37.950360,0.15,9.383711604674752e-06,16,138,COMPLETE
9,9,0.5000004172325134,2023-06-21 21:17:32.053314,2023-06-21 21:17:47.452679,0 days 00:00:15.399365,0.25,2.56568276058129e-06,13,85,COMPLETE
5,5,0.5000004172325134,2023-06-21 21:16:00.055817,2023-06-21 21:16:13.773459,0 days 00:00:13.717642,0.25,2.508056879675385e-07,20,193,COMPLETE
8,8,0.5000004172325134,2023-06-21 21:17:19.995632,2023-06-21 21:17:32.051377,0 days 00:00:12.055745,0.3,1.8772409085964779e-07,14,139,COMPLETE
4,4,0.5000004172325134,2023-06-21 21:15:48.052791,2023-06-21 21:16:00.054115,0 days 00:00:12.001324,0.2,2.714663135477375e-07,19,103,COMPLETE
7,7,0.5002269148826599,2023-06-21 21:17:01.550022,2023-06-21 21:17:19.993501,0 days 00:00:18.443479,0.25,7.267200601885159e-07,15,161,COMPLETE
18,18,0.5012081861495972,2023-06-21 21:19:49.114499,2023-06-21 21:19:59.770027,0 days 00:00:10.655528,0.2,1.1343452999530643e-08,17,172,COMPLETE
19,19,0.5225686430931091,2023-06-21 21:19:59.771745,2023-06-21 21:20:07.728499,0 days 00:00:07.956754,0.4,6.164282387589091e-05,8,113,COMPLETE
2,2,0.5614804625511169,2023-06-21 21:14:31.730460,2023-06-21 21:14:56.249612,0 days 00:00:24.519152,0.3,7.32966608924228e-06,8,205,COMPLETE
14,14,0.5737015604972839,2023-06-21 21:18:37.102894,2023-06-21 21:18:49.745750,0 days 00:00:12.642856,0.35,0.0002852996397424789,10,215,COMPLETE
16,16,0.5790712833404541,2023-06-21 21:19:07.633708,2023-06-21 21:19:34.567331,0 days 00:00:26.933623,0.35,8.840382297082209e-05,9,178,COMPLETE
22,22,0.5894877910614014,2023-06-21 21:20:54.178019,2023-06-21 21:21:06.908200,0 days 00:00:12.730181,0.1,0.009963289320645337,12,250,COMPLETE
15,15,0.5935206413269043,2023-06-21 21:18:49.747589,2023-06-21 21:19:07.631616,0 days 00:00:17.884027,0.35,0.0015298384164527284,10,225,COMPLETE
6,6,0.5938671231269836,2023-06-21 21:16:13.775448,2023-06-21 21:17:01.547292,0 days 00:00:47.771844,0.1,9.260504236733539e-05,6,70,COMPLETE
12,12,0.5963129997253418,2023-06-21 21:18:08.365758,2023-06-21 21:18:20.231879,0 days 00:00:11.866121,0.15,0.009373794160077817,5,254,COMPLETE
1,1,0.5971919894218445,2023-06-21 21:14:05.250587,2023-06-21 21:14:31.728228,0 days 00:00:26.477641,0.15,0.0009391928666361779,7,38,COMPLETE
20,20,0.5972738265991211,2023-06-21 21:20:07.729559,2023-06-21 21:20:34.782515,0 days 00:00:27.052956,0.35,0.00040242172146812464,7,234,COMPLETE
23,23,0.5980531573295593,2023-06-21 21:21:06.908981,2023-06-21 21:21:24.887619,0 days 00:00:17.978638,0.1,0.002424573441576069,14,201,COMPLETE
10,10,0.5987945795059204,2023-06-21 21:17:47.454423,2023-06-21 21:17:57.996363,0 days 00:00:10.541940,0.15,0.007742469095927401,5,247,COMPLETE
17,17,0.5989364981651306,2023-06-21 21:19:34.569109,2023-06-21 21:19:49.112670,0 days 00:00:14.543561,0.1,0.0015004239042790048,12,233,COMPLETE
13,13,0.5990590453147888,2023-06-21 21:18:20.233571,2023-06-21 21:18:37.101144,0 days 00:00:16.867573,0.35,0.006128091265732625,10,247,COMPLETE
21,21,0.5991383790969849,2023-06-21 21:20:34.784356,2023-06-21 21:20:54.176017,0 days 00:00:19.391661,0.1,0.0033396072935363823,12,235,COMPLETE
11,11,0.5992355346679688,2023-06-21 21:17:57.997997,2023-06-21 21:18:08.362755,0 days 00:00:10.364758,0.15,0.004235954040009281,5,254,COMPLETE
